sales_month,sku,monthly_units_sum,month,monthly_sales,l15day_sales,l7day_sales,monthly_sales_bb,l15day_sales_bb,l7day_sales_bb,monthly_orders_bb,l15day_orders_bb,l7day_orders_bb,monthly_orders,l15day_orders,l7day_orders,monthly_units_ordered,l15day_units_ordered,l7day_units_ordered,monthly_units_ordered_bb,l15day_units_ordered_bb,l7day_units_ordered_bb,mon_unit_session_per_bb,l15day_unit_session_per_bb,l7day_unit_session_per_bb,mon_sessions,l15day_sessions,l7day_sessions,mon_page_views,l15day_page_views,l7day_page_views,rec_bb_per,monthly_bb_per,l15day_bb_per,l7day_bb_per,monthly_pv_per,l15day_pv_per,l7day_pv_per,rec_rank,rec_merc_listings,rec_fba_listing,old_rank,old_merc_listings,old_fba_listing,avg_rank_l15,avg_rank_monthly,avg_rank_f15,avg_merc_listings_l15,avg_merc_listings_f15,avg_merc_listings_monthly,avg_fbalistings_listings_l15,avg_fbalistings_listings_f15,avg_fbalistings_monthly,category,category_o
7,FBA-3130-0040,5,6,46.94,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,22,0,0,27,0,0,0,27.5,0,0,0,0,0,17963,0,0,31408,0,0,12222.153846,23605.038462,11382.884615,0,0,,0,0,,Pet Products,Pet Products
6,FBA-3130-0043,2,5,551.86,230.8,46.16,36.2,11.54,0,3,1,0,47,20,4,47,20,4,3,1,0,27.5,6.67,0,209,94,25,350,121,31,58,57.19047619,21.619047619,5.7619047619,0.0071428571,0.0028571429,0.0004761905,21969,0,0,45424,0,0,9694.1111111,25271.444444,15577.333333,0,0,,0,0,,Pet Products,Pet Products
7,FBA-3130-0043,1,6,23.08,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,13,0,0,22,0,0,92,56,0,0,0,0,0,12721,0,0,39336,0,0,8668.5384615,19916.192308,11247.653846,0,0,,0,0,,Pet Products,Pet Products
6,FBA-3130-0044,9,5,326.62,129.99,55.71,0,0,0,0,0,0,16,7,3,17,7,3,0,0,0,0,0,0,110,56,22,135,70,25,50,53.866666667,13.8,8.2,0.002,0.0013333333,0.0006666667,45013,0,0,74520,0,0,14743.074074,40668.333333,25925.259259,0,0,,0,0,,Pet Products,Pet Products
7,FBA-3130-0044,22,6,167.13,111.42,37.14,0,0,0,0,0,0,9,6,2,9,6,2,0,0,0,0,0,0,62,38,19,80,51,25,9,29.111111111,15.777777778,6.5555555556,0.0011111111,0.0011111111,0.0011111111,24157,0,0,44352,0,0,25495.153846,47983.153846,22488,0,0,,0,0,,Pet Products,Pet Products
6,FBA-3130-0045,2,5,68.23,68.23,59.71,0,0,0,0,0,0,7,7,6,8,8,7,0,0,0,0,0,0,14,14,12,18,18,15,100,100,100,83.333333333,0,0,0,42074,0,0,66843,0,0,22392.740741,60898.37037,38505.62963,0,0,,0,0,,Pet Products,Pet Products
5,FBA-3130-0046,23,4,72.01,72.01,72.01,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,9,9,9,11,11,11,100,100,100,100,0,0,0,54873,0,0,68288,0,0,43439.4375,51773.5,8334.0625,0,0,,0,0,,Pet Products,Pet Products
6,FBA-3130-0046,25,5,331.3,174.16,58.17,29.04,29.04,0,1,1,0,20,9,2,23,12,4,2,2,0,50,50,0,55,23,5,78,27,6,100,93.923076923,46.153846154,15.384615385,0,0,0,76960,0,0,24984,0,0,24666.074074,54327.62963,29661.555556,0,0,,0,0,,Pet Products,Pet Products
7,FBA-3130-0046,25,6,360.11,101.32,43.19,28.8,0,0,2,0,0,23,7,3,25,7,3,2,0,0,66.67,0,0,62,25,9,89,38,12,100,89.875,37.5,18.75,0.000625,0,0,103393,0,0,88324,0,0,37469,61761.692308,24292.692308,0,0,,0,0,,Pet Products,Pet Products
7,FBA-3130-0049,12,6,163.25,103.13,34.4,0,0,0,0,0,0,9,6,2,9,6,2,0,0,0,0,0,0,58,48,23,83,71,27,33,69.714285714,41.142857143,7.5714285714,0.0057142857,0.0057142857,0.0028571429,31197,0,0,58752,0,0,28946.307692,57314.192308,28367.884615,0,0,,0,0,,Pet Products,Pet Products
