variable,min,max,zero_value,missing,transformation,keep,notes,r_var,sas_var,lazy,sas
monthly_pv_per,0.0014,0.1098600754,0,0,0,y,,monthly_pv_per_trfm,tmonthly_pv_per,"DDD$monthly_pv_per_trfm = with(DDD, trfm(monthly_pv_per, missing = 0, min = 0.0014, max = 0.1098600754, zero_value = 0, transformation = 0))","%trfm(monthly_pv_per, 0,0.0014, 0.1098600754, 0, 0)"
l15day_pv_per,0,0.0748,0,0,0,y,,l15day_pv_per_trfm,tl15day_pv_per,"DDD$l15day_pv_per_trfm = with(DDD, trfm(l15day_pv_per, missing = 0, min = 0, max = 0.0748, zero_value = 0, transformation = 0))","%trfm(l15day_pv_per, 0,0, 0.0748, 0, 0)"
l7day_pv_per,0,0.049,0,0,2,y,,l7day_pv_per_trfm,tl7day_pv_per,"DDD$l7day_pv_per_trfm = with(DDD, trfm(l7day_pv_per, missing = 0, min = 0, max = 0.049, zero_value = 0, transformation = 2))","%trfm(l7day_pv_per, 0,0, 0.049, 0, 2)"
rec_rank,485,283948,0,46886,1,y,,rec_rank_trfm,trec_rank,"DDD$rec_rank_trfm = with(DDD, trfm(rec_rank, missing = 46886, min = 485, max = 283948, zero_value = 0, transformation = 1))","%trfm(rec_rank, 46886,485, 283948, 0, 1)"
rec_merc_listings,no good,,,,,,,,,,
rec_fba_listing,no good,,,,,,,,,,
old_rank,567,138522,0,49710,1,y,,old_rank_trfm,told_rank,"DDD$old_rank_trfm = with(DDD, trfm(old_rank, missing = 49710, min = 567, max = 138522, zero_value = 0, transformation = 1))","%trfm(old_rank, 49710,567, 138522, 0, 1)"
old_merc_listings,no good,,,,,,,,,,
old_fba_listing,no good,,,,,,,,,,
avg_rank_l15,240,58733,0,22348,1,y,,avg_rank_l15_trfm,tavg_rank_l15,"DDD$avg_rank_l15_trfm = with(DDD, trfm(avg_rank_l15, missing = 22348, min = 240, max = 58733, zero_value = 0, transformation = 1))","%trfm(avg_rank_l15, 22348,240, 58733, 0, 1)"
avg_rank_monthly,4658,160890,13386,48442,1,y,,avg_rank_monthly_trfm,tavg_rank_monthly,"DDD$avg_rank_monthly_trfm = with(DDD, trfm(avg_rank_monthly, missing = 48442, min = 4658, max = 160890, zero_value = 13386, transformation = 1))","%trfm(avg_rank_monthly, 48442,4658, 160890, 13386, 1)"
avg_rank_f15,238,78713,0,25510,,,,,,,
avg_merc_listings_l15,no good,,,,,,,,,,
avg_merc_listings_f15,no good,,,,,,,,,,
avg_merc_listings_monthly,no good,,,,,,,,,,
avg_fbalistings_listings_l15,no good,,,,,,,,,,
avg_fbalistings_listings_f15,no good,,,,,,,,,,
avg_fbalistings_monthly,no good,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
